Reference,Reference,Data,Data,Dataset,Dataset
X,Y,X,Y,X,Y
1.0,0.0,1.0,-8.3802,1.0,-8.3802
2.0,0.0,2.0,-10.5708,2.0,-10.5708
3.0,0.0,3.0,3.7374,3.0,3.7374
4.0,0.0,4.0,10.477,4.0,10.477
5.0,0.0,5.0,2.8005,5.0,2.8005
6.0,0.0,6.0,-11.8635,6.0,-11.8635
7.0,0.0,7.0,-11.2214,7.0,-11.2214
8.0,0.0,8.0,0.0,8.0,0.0
9.0,0.0,9.0,0.0,9.0,0.0
10.0,0.0,10.0,3.6481,10.0,3.6481
11.0,0.0,11.0,-12.366,11.0,-12.366
12.0,0.0,12.0,-11.1147,12.0,-11.1147
13.0,0.0,13.0,1.424,13.0,1.424
14.0,0.0,14.0,11.024,14.0,11.024
15.0,0.0,15.0,1.9128,15.0,1.9128
16.0,0.0,16.0,-11.126,16.0,-11.126
17.0,0.0,17.0,-8.0091,17.0,-8.0091
18.0,0.0,18.0,3.7417,18.0,3.7417
19.0,0.0,19.0,10.3358,19.0,10.3358
20.0,0.0,20.0,0.5657,20.0,0.5657
21.0,0.0,21.0,-12.2847,21.0,-12.2847
22.0,0.0,22.0,-10.2839,22.0,-10.2839
23.0,0.0,23.0,3.194,23.0,3.194
24.0,0.0,24.0,10.9796,24.0,10.9796
25.0,0.0,25.0,1.4851,25.0,1.4851
26.0,0.0,26.0,0.0,26.0,0.0
27.0,0.0,27.0,-6.2013,27.0,-6.2013
28.0,0.0,28.0,0.0,28.0,0.0
29.0,0.0,29.0,8.1284,29.0,8.1284
30.0,0.0,30.0,9.7296,30.0,9.7296
31.0,0.0,31.0,-3.9644,31.0,-3.9644
32.0,0.0,32.0,-15.5417,32.0,-15.5417
33.0,0.0,33.0,-6.6457,33.0,-6.6457
34.0,0.0,34.0,9.472,34.0,9.472
35.0,0.0,35.0,9.1078,35.0,9.1078
36.0,0.0,36.0,-5.4811,36.0,-5.4811
37.0,0.0,37.0,-14.7262,37.0,-14.7262
38.0,0.0,38.0,-3.8588,38.0,-3.8588
39.0,0.0,39.0,0.0,39.0,0.0
40.0,0.0,40.0,7.1382,40.0,7.1382
41.0,0.0,41.0,-8.797,41.0,-8.797
42.0,0.0,42.0,-16.7574,42.0,-16.7574
43.0,0.0,43.0,-1.8855,43.0,-1.8855
44.0,0.0,44.0,12.4297,44.0,12.4297
45.0,0.0,45.0,6.4193,45.0,6.4193
46.0,0.0,46.0,-5.7732,46.0,-5.7732
47.0,0.0,47.0,-11.4142,47.0,-11.4142
48.0,0.0,48.0,-0.7302,48.0,-0.7302
49.0,0.0,49.0,12.8229,49.0,12.8229
50.0,0.0,50.0,4.1758,50.0,4.1758
