tune,max_betx,min_betx,max_dx,min_dx,sigma_xMAX,sigma_yMAX,beta_x_at_teca,alpha_teca,gamma_teca,dx_at_teca,dpx_teca,EpsilonBetaTeca,D_xDeltaPTeca,beta_tpst,dispersion_tpst,dpx_tpst,EpsilonBetaTPST,D_xDeltaPTPST,beta_tcsm,dispersion_tcsm,EpsilonBetaTCSM,D_xDeltaPTCSM,mu_x_teca,mu_x_tpst,mu_x_tcsm,delta_mu_xtpst,delta_mu_x_tcsm,EasyDeltaXtpst,EasyDeltaXtcsm,ErrorEasyDeltaXtpst,ErrorEasyDeltaXtcsm,x_NONchanneledTPST,x_NONchanneledTCSM,delta_mu_TCSM_TPST,ratioDxBetaTECA,ratioDxBetaTPST,ratioDxBetaTCSM,Dx_BetaTECA,Dx_BetaTPST,Dx_BetaTCSM
15.1,119.03316589606968,47.584926704889604,12.246064730108243,1.0154652089725476,0.018441884949346354,0.001181619767360693,86.63241671176473,-1.3141071680298662,0.03147641209340941,2.81242958337204,0.044925967459067934,2.0321194632623697e-06,1.7796960363209008e-05,74.05347564483587,2.6007338439813497,0.044987916941131655,1.7370577307196466e-06,1.5218587186267519e-05,51.697986762196436,1.7016840132689273,1.2126694498258523e-06,6.515389082283845e-06,0.0,10.05707400263238,2.612451252084155,63.19045960655756,16.414515322818076,-0.004891385313727968,0.0075598799458818184,0.0007907852004593577,0.00012866710677464209,-0.05720227734964789,0.04975922176364872,-46.775944283739484,8.75783175396476,8.76112918824097,5.372765911782061,0.03246394005986572,0.03511967293006742,0.03291586616508758
15.2,117.19615070294444,47.73376489308162,12.075814278971569,1.0410164369249073,0.01818739813687107,0.0011741362818766092,85.51214582875433,-1.2965035325024108,0.031351352299824324,2.9091058451109837,0.046862031297066585,2.0058414907446943e-06,1.9041517840632506e-05,73.01095086370853,2.691479913671474,0.046977984712820796,1.7126034331359742e-06,1.6299144282818265e-05,50.6023042883546,1.8538996805561447,1.186968242758555e-06,7.733124057523894e-06,0.0,10.123460431695804,2.63069085332654,63.607577842244986,16.529118117353043,-0.009627203462604676,0.00837760244504181,-0.0003225699234518333,0.00037050450907190503,-0.05882528538363571,0.04862043712493365,-47.07845972489194,9.493032190476377,9.517173659387483,6.515021867435853,0.0340197970348765,0.036864057813679636,0.036636665199904606
15.3,116.58488182076803,47.39909623888222,11.93192101407093,1.0444780420304876,0.017972103976601775,0.0011718629989850582,84.90388370886397,-1.2949287797496336,0.0315278928087999,3.051164785057176,0.04951903223514324,1.9915736065102402e-06,2.0946614727539264e-05,72.22785886507674,2.8248434714417185,0.04970150214842245,1.6942345990165333e-06,1.795441643583052e-05,49.99233626966456,1.9744224463037099,1.172660343593377e-06,8.771273992052833e-06,0.0,10.18978491126922,2.647985613353359,64.024306837807,16.63778429944475,-0.012662256795363213,0.009086053259944372,-0.0013845562807062676,0.0006076294553089566,-0.04989536307000373,0.046844043322136805,-47.38652253836225,10.517620166820363,10.597361455286459,7.479807806218691,0.03593669278450962,0.03911016491183256,0.039494502430401375
15.4,116.80190983906085,46.76258568913149,11.804414170825028,1.044301381883234,0.017780931257353364,0.001179727960524961,84.56438745916248,-1.3036273183428198,0.031921761231148246,3.204269266826966,0.05237287118031237,1.9836101101319927e-06,2.31015184522466e-05,71.20738260606542,2.9696307413836274,0.05264606044187913,1.6702974892550268e-06,1.984209016538401e-05,49.606160168433846,2.087091017244463,1.1636018871708962e-06,9.800885057090688e-06,0.0,10.255665697839799,2.6643960578950208,64.43824802801271,16.740894163473204,-0.013493675832038811,0.00967843103434776,-0.002210674268456008,0.0008371799334591653,-0.03213648203224685,0.044463847146610225,-47.6973538645395,11.646199187152453,11.879374957471693,8.422885150968519,0.037891473740933324,0.04170397271603514,0.04207322256263957
15.6,115.79742973713223,46.03712272196211,11.74657122714577,1.0349547209176662,0.017696210992656954,0.001163654576601841,82.71882757841281,-1.264599566531222,0.031422254639755946,3.5236070509463477,0.058357710709771124,1.94031917705361e-06,2.7935564961327337e-05,72.2040505084569,3.279486082162023,0.05896856954619182,1.6936761311044994e-06,2.4198815166962432e-05,48.009804381776135,2.3083946544512153,1.1261564852360555e-06,1.1989543231572626e-05,0.0,10.391568241405137,2.703246773368269,65.29214889295076,16.98500040810813,-0.008469065170291347,0.01049547074753839,-0.0026456704092028497,0.0012628032942448258,0.01582804038902178,0.038061915438448536,-48.307148484842635,14.397407030603961,14.2877464720375,10.646427373776104,0.04259740078649163,0.04541969680465382,0.048081734224425424
15.7,114.6808813279885,45.93583098115998,11.757511629504751,1.023997804968169,0.01771181903065553,0.0011608365681334669,82.46712844486359,-1.2756835632717025,0.03185958579069733,3.6863831636347872,0.06141358488876848,1.9344151202630277e-06,3.057619686554255e-05,71.23913390868492,3.4473908512924,0.06238169341954872,1.6710422732802918e-06,2.674013328354272e-05,47.704763687325745,2.4223646018825096,1.1190012060021618e-06,1.3202663095020172e-05,0.0,10.457451867749377,2.719501725889798,65.7061079259806,17.087133286960306,-0.0035230909406355755,0.010713897550052297,-0.0021773334430466337,0.0014537420847961498,0.03739132069148646,0.03414299602157556,-48.6189746390203,15.806429832591993,16.002068715503686,11.798613821149596,0.04470124318805951,0.04839181306880151,0.05077825388172054
15.8,114.14331718747536,45.61283183671142,11.796029515141216,0.8943189214283703,0.017768990617969598,0.0011598629481473657,82.10000760724877,-1.2806176514809864,0.032155679959420466,3.845483240317997,0.06436192670037263,1.92580363939013e-06,3.327241804102485e-05,70.61113777832723,3.6328080510407155,0.06607163832464126,1.6563114922656142e-06,2.9693912255339047e-05,47.30345134359023,2.543656703998394,1.1095877017331342e-06,1.4557926212540944e-05,0.0,10.523781434223402,2.7364341501852096,66.12286888348179,17.193522846508166,0.0019722322489147907,0.010804077896479549,-0.0013324689572767434,0.0016270423555397998,0.05206505914832077,0.029822164478970514,-48.92934603697363,17.27716022572357,17.927734242018524,13.120122176734666,0.046839011985407804,0.05144808829515473,0.0537731736638508
15.9,113.83856551429868,45.20327771843227,11.895173884984247,0.7161736423540194,0.01791686460443767,0.001165486050794314,81.75606419312298,-1.2849019290994221,0.03242539857522161,3.9703619243512875,0.06643703313385182,1.9177358267556127e-06,3.546849107326153e-05,70.05545861855173,3.871558137252995,0.07044067671735617,1.6432770361258752e-06,3.372516542279223e-05,46.85529080992813,2.68794153122722,1.0990752887393832e-06,1.62563167694163e-05,0.0,10.590168096693205,2.7535243134563236,66.53998858570475,17.30090350927053,0.007067675441844119,0.01076668650008014,-0.0002568171689373433,0.001780645111415483,0.05730897854115619,0.02516310047184963,-49.239085076434215,18.494982770002487,20.523116115771536,14.790903713304264,0.048563515912074195,0.0552641894521514,0.05736687329785336
16.1,112.84336297398113,44.55497145852494,12.098395417741932,0.43788087408612986,0.018219493420611344,0.0011556038460934605,80.51039535024879,-1.2828624585390735,0.032862043168699215,4.638713076518234,0.08084059021404218,1.8885164190966274e-06,4.8414732764087825e-05,69.13730107137867,3.965862621816626,0.0753628855167821,1.621739996149727e-06,3.5388149254025054e-05,46.24285047470382,2.8213347955794683,1.0847093969342752e-06,1.7909842564681745e-05,0.0,10.723575357782666,2.787779370743906,67.37821112845312,17.516134381916462,0.012803178321976924,0.010319182995932662,0.0018347482147020343,0.0020217575414954968,0.03801104103739372,0.015101219104897083,-49.862076746536665,25.636384346209198,21.821099151554655,16.511189647015605,0.05761632465395538,0.057362126672000024,0.06101126480347097
16.2,112.66322899040672,44.11540888131724,12.114129321890305,0.33995585351968577,0.01824281059410335,0.0011516679941653862,80.0824497130918,-1.2850223296013048,0.03310690915515956,4.8035399855612475,0.08373786593565968,1.8784781829317713e-06,5.191649188399294e-05,68.59847252149385,4.238846217416212,0.0805200166164766,1.6091008014332106e-06,4.042758882353339e-05,45.80081841317608,2.9868099985665775,1.0743407382991926e-06,2.0072326426958882e-05,0.0,10.790035954148829,2.8048820844232636,67.79579537104739,17.6235939012195,0.012490702316514555,0.009917560106678599,0.0024880702131208007,0.002106432029303438,0.017109890641722955,0.009839529570875798,-50.17220146982788,27.637527204583247,25.12433577034138,18.683389460531608,0.05998243064205326,0.06179213707838846,0.0652130267983885
